,loading,attribute_0,attribute_1,attribute_2,attribute_3,measurement_0,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10,measurement_11,measurement_12,measurement_13,measurement_14,measurement_15,measurement_16,measurement_17,failure
2506,-0.2553713934929402,7.0,8.0,9,5,0.1666666666666666,-0.1666666666666666,-0.5,1.0602996254681654,1.144894894894896,-0.1724397590361462,-0.5210727969348657,0.1164750957854414,0.5510976532929619,0.4423076923076915,0.3218194740582816,0.7774936061381065,-0.0610647181628397,0.004968062455642,-0.2369816027439962,-0.3309426229508201,-0.9565807327001364,0.5506678845913597,0.0
25459,0.0335584202987518,7.0,6.0,6,9,0.3333333333333333,-0.5,0.25,0.6640449438202246,1.4279279279279298,0.4111445783132516,-0.2934865900383135,1.384674329501915,0.1741105223315676,0.5484615384615376,0.4457711442786086,0.1657289002557551,-0.6685803757828812,0.9198012775017734,0.1449953227315246,-0.6203893442622952,0.904115784712799,0.9651278739804878,0.0
4562,-0.6480458358911394,7.0,8.0,9,5,1.6666666666666667,-1.0,-1.25,0.1943820224719099,-1.2807807807807814,-0.3162650602409644,-0.1279693486590023,0.3823754789272022,-0.0373959121877355,-0.7523076923076917,0.7823738450604133,0.8841943734015337,-0.2385177453027143,-0.7672107877927601,2.2913418563558885,0.8509221311475399,-0.3129805517865228,-0.301998380787508,0.0
4352,1.4319623490894209,7.0,8.0,9,5,0.6666666666666666,-0.8333333333333334,0.5,0.8048689138576799,-0.4902402402402396,-0.0466867469879525,-0.1839080459770103,0.4298850574712644,-1.0227100681302053,0.4583076923076924,-0.4696517412935318,1.0306905370843984,1.3622129436325674,1.1611071682043992,-0.5306101236877656,0.0338114754098355,1.3039348710990497,-0.7219812151881483,0.0
17021,0.2277470841006754,7.0,5.0,6,6,0.1666666666666666,0.1666666666666666,0.5,-1.1449438202247222,0.6584084084084094,-1.2567771084337338,-1.573180076628352,-0.3639846743295017,1.0030280090840282,-0.1015384615384612,-0.2046908315565019,-0.3207161125319684,0.051148225469728,-0.4286728176011348,-0.6605342479991677,-0.3119877049180328,0.9366802351876968,-1.8491348245880173,0.0
497,-0.2766523429506853,7.0,8.0,9,5,1.3333333333333333,0.0,0.0,-0.2977528089887652,0.2379879879879883,-0.2597891566265072,-0.0648275862068979,0.5379310344827587,-0.0461771385314156,0.4569230769230762,-0.3348969438521671,0.4695652173913035,1.762526096033402,-0.4407381121362669,-0.4510965596091873,-1.4216188524590163,0.5165083672546356,-0.0041606297730672,0.0
13570,-0.376918354818907,7.0,8.0,5,8,1.3333333333333333,-0.3333333333333333,-0.5,-0.3546816479400766,-0.8258258258258262,-1.1182228915662635,-0.0666666666666664,0.1256704980842909,0.8183194549583658,0.3499999999999998,-0.0909737029140005,0.0358056265984655,-1.8689979123173277,0.0007097232079497,-0.4069223573433101,0.5671106557377046,0.703663500678425,0.1479025681878285,0.0
2646,0.0673214651115204,7.0,8.0,9,5,0.1666666666666666,-1.0,0.75,-1.019101123595509,0.7972972972972988,-0.9932228915662636,0.6996168582375483,0.2444444444444437,1.3860711582134764,0.986923076923076,-0.3911869225302046,-0.0680306905370838,0.4464509394572021,-0.4066713981547197,0.3778193534975574,0.077868852459016,-0.6345545002261429,0.7452459564305286,0.0
11150,0.0255780642520974,7.0,8.0,5,8,1.5,-0.8333333333333334,-1.0,-1.474531835205996,0.0382882882882884,-0.1558734939759038,0.8000000000000006,0.0237547892720297,-1.552611657834975,-0.1976923076923073,-0.2660980810234533,0.7687979539641937,0.1998956158663878,-0.932576295244854,-1.2129716245712487,1.3724385245901631,1.6657620985979191,-1.325425043279051,0.0
10873,-0.8641293226928584,7.0,8.0,5,8,1.1666666666666667,0.0,-1.0,-0.9846441947565582,-1.2087087087087092,-0.0655120481927734,0.0865900383141759,0.4950191570881219,0.2429977289931885,-0.4847692307692307,-0.3121535181236662,0.8956521739130433,-1.0375782881002082,0.1405251951738824,0.8658143644111838,0.5220286885245903,0.075531433740388,0.0877678068756501,0.0
